onset	duration	sample	trial_type	response_time	stim_file	value
2.9570312500	n/a	757	stimulus	n/a	n/a	standard
3.9453125000	n/a	1010	stimulus	n/a	n/a	standard
4.9453125000	n/a	1266	stimulus	n/a	n/a	standard
5.9453125000	n/a	1522	stimulus	n/a	n/a	standard
6.9492187500	n/a	1779	stimulus	n/a	n/a	standard
7.9492187500	n/a	2035	stimulus	n/a	n/a	standard
8.9492187500	n/a	2291	stimulus	n/a	n/a	standard
9.9492187500	n/a	2547	stimulus	n/a	n/a	standard
10.9492187500	n/a	2803	stimulus	n/a	n/a	standard
11.9492187500	n/a	3059	stimulus	n/a	n/a	standard
12.9531250000	n/a	3316	stimulus	n/a	n/a	standard
13.9492187500	n/a	3571	stimulus	n/a	n/a	standard
14.9492187500	n/a	3827	stimulus	445	n/a	oddball_with_reponse
15.3945312500	n/a	3941	response	n/a	n/a	response
15.9492187500	n/a	4083	stimulus	n/a	n/a	standard
16.9531250000	n/a	4340	stimulus	n/a	n/a	standard
17.9492187500	n/a	4595	stimulus	n/a	n/a	noise
18.9492187500	n/a	4851	stimulus	n/a	n/a	standard
19.9492187500	n/a	5107	stimulus	n/a	n/a	noise
20.9492187500	n/a	5363	stimulus	n/a	n/a	standard
21.9492187500	n/a	5619	stimulus	n/a	n/a	standard
22.9531250000	n/a	5876	stimulus	n/a	n/a	standard
23.9492187500	n/a	6131	stimulus	n/a	n/a	standard
24.9531250000	n/a	6388	stimulus	n/a	n/a	standard
25.9531250000	n/a	6644	stimulus	n/a	n/a	standard
26.9570312500	n/a	6901	stimulus	n/a	n/a	noise
27.9570312500	n/a	7157	stimulus	n/a	n/a	standard
28.9570312500	n/a	7413	stimulus	n/a	n/a	standard
29.9531250000	n/a	7668	stimulus	n/a	n/a	standard
30.9648437500	n/a	7927	stimulus	n/a	n/a	standard
31.9531250000	n/a	8180	stimulus	n/a	n/a	standard
32.9531250000	n/a	8436	stimulus	688	n/a	oddball_with_reponse
33.6406250000	n/a	8612	response	n/a	n/a	response
33.9570312500	n/a	8693	stimulus	n/a	n/a	standard
34.9570312500	n/a	8949	stimulus	n/a	n/a	standard
35.9570312500	n/a	9205	stimulus	n/a	n/a	noise
36.9609375000	n/a	9462	stimulus	n/a	n/a	standard
37.9531250000	n/a	9716	stimulus	n/a	n/a	standard
38.9531250000	n/a	9972	stimulus	n/a	n/a	standard
39.9570312500	n/a	10229	stimulus	n/a	n/a	noise
40.9609375000	n/a	10486	stimulus	n/a	n/a	standard
41.9570312500	n/a	10741	stimulus	n/a	n/a	standard
42.9648437500	n/a	10999	stimulus	n/a	n/a	standard
43.9570312500	n/a	11253	stimulus	n/a	n/a	standard
44.9570312500	n/a	11509	stimulus	n/a	n/a	standard
45.9570312500	n/a	11765	stimulus	n/a	n/a	standard
46.9570312500	n/a	12021	stimulus	n/a	n/a	noise
47.9570312500	n/a	12277	stimulus	n/a	n/a	standard
48.9570312500	n/a	12533	stimulus	n/a	n/a	standard
49.9570312500	n/a	12789	stimulus	n/a	n/a	standard
50.9609375000	n/a	13046	stimulus	n/a	n/a	standard
51.9570312500	n/a	13301	stimulus	n/a	n/a	standard
52.9570312500	n/a	13557	stimulus	n/a	n/a	standard
53.9531250000	n/a	13812	stimulus	n/a	n/a	standard
54.9609375000	n/a	14070	stimulus	n/a	n/a	standard
55.9648437500	n/a	14327	stimulus	n/a	n/a	standard
56.9609375000	n/a	14582	stimulus	777	n/a	oddball_with_reponse
57.7382812500	n/a	14781	response	n/a	n/a	response
57.9609375000	n/a	14838	stimulus	n/a	n/a	standard
58.9648437500	n/a	15095	stimulus	621	n/a	oddball_with_reponse
59.5859375000	n/a	15254	response	n/a	n/a	response
59.9570312500	n/a	15349	stimulus	n/a	n/a	standard
60.9570312500	n/a	15605	stimulus	n/a	n/a	noise
61.9570312500	n/a	15861	stimulus	n/a	n/a	standard
62.9570312500	n/a	16117	stimulus	n/a	n/a	standard
63.9570312500	n/a	16373	stimulus	n/a	n/a	standard
64.9570312500	n/a	16629	stimulus	793	n/a	oddball_with_reponse
65.7500000000	n/a	16832	response	n/a	n/a	response
65.9570312500	n/a	16885	stimulus	n/a	n/a	standard
66.9648437500	n/a	17143	stimulus	n/a	n/a	standard
67.9570312500	n/a	17397	stimulus	n/a	n/a	noise
68.9609375000	n/a	17654	stimulus	n/a	n/a	standard
69.9609375000	n/a	17910	stimulus	n/a	n/a	noise
70.9570312500	n/a	18165	stimulus	n/a	n/a	standard
71.9570312500	n/a	18421	stimulus	613	n/a	oddball_with_reponse
72.5703125000	n/a	18578	response	n/a	n/a	response
72.9570312500	n/a	18677	stimulus	n/a	n/a	standard
73.9570312500	n/a	18933	stimulus	n/a	n/a	standard
74.9648437500	n/a	19191	stimulus	n/a	n/a	standard
75.9570312500	n/a	19445	stimulus	n/a	n/a	standard
76.9609375000	n/a	19702	stimulus	n/a	n/a	standard
77.9609375000	n/a	19958	stimulus	n/a	n/a	standard
78.9609375000	n/a	20214	stimulus	n/a	n/a	standard
79.9609375000	n/a	20470	stimulus	n/a	n/a	standard
80.9609375000	n/a	20726	stimulus	n/a	n/a	standard
81.9570312500	n/a	20981	stimulus	n/a	n/a	standard
82.9726562500	n/a	21241	stimulus	n/a	n/a	standard
83.9570312500	n/a	21493	stimulus	n/a	n/a	standard
84.9609375000	n/a	21750	stimulus	n/a	n/a	standard
85.9687500000	n/a	22008	stimulus	n/a	n/a	standard
86.9804687500	n/a	22267	stimulus	738	n/a	oddball_with_reponse
87.7187500000	n/a	22456	response	n/a	n/a	response
87.9570312500	n/a	22517	stimulus	n/a	n/a	standard
88.9570312500	n/a	22773	stimulus	n/a	n/a	noise
89.9570312500	n/a	23029	stimulus	n/a	n/a	standard
90.9609375000	n/a	23286	stimulus	547	n/a	oddball_with_reponse
91.5078125000	n/a	23426	response	n/a	n/a	response
91.9570312500	n/a	23541	stimulus	n/a	n/a	standard
92.9609375000	n/a	23798	stimulus	n/a	n/a	noise
93.9609375000	n/a	24054	stimulus	n/a	n/a	standard
94.9687500000	n/a	24312	stimulus	449	n/a	oddball_with_reponse
95.4179687500	n/a	24427	response	n/a	n/a	response
95.9609375000	n/a	24566	stimulus	n/a	n/a	standard
96.9609375000	n/a	24822	stimulus	n/a	n/a	noise
97.9570312500	n/a	25077	stimulus	n/a	n/a	standard
98.9609375000	n/a	25334	stimulus	477	n/a	oddball_with_reponse
99.4375000000	n/a	25456	response	n/a	n/a	response
99.9609375000	n/a	25590	stimulus	n/a	n/a	standard
100.9609375000	n/a	25846	stimulus	n/a	n/a	standard
101.9609375000	n/a	26102	stimulus	n/a	n/a	standard
102.9609375000	n/a	26358	stimulus	461	n/a	oddball_with_reponse
103.4218750000	n/a	26476	response	n/a	n/a	response
103.9609375000	n/a	26614	stimulus	n/a	n/a	standard
104.9609375000	n/a	26870	stimulus	n/a	n/a	standard
105.9648437500	n/a	27127	stimulus	n/a	n/a	noise
106.9609375000	n/a	27382	stimulus	n/a	n/a	standard
107.9609375000	n/a	27638	stimulus	n/a	n/a	standard
108.9609375000	n/a	27894	stimulus	n/a	n/a	standard
109.9609375000	n/a	28150	stimulus	n/a	n/a	standard
110.9648437500	n/a	28407	stimulus	n/a	n/a	standard
111.9609375000	n/a	28662	stimulus	n/a	n/a	noise
112.9609375000	n/a	28918	stimulus	n/a	n/a	standard
113.9609375000	n/a	29174	stimulus	918	n/a	oddball_with_reponse
114.8789062500	n/a	29409	response	n/a	n/a	response
114.9609375000	n/a	29430	n/a	n/a	n/a	ignore
115.9648437500	n/a	29687	stimulus	n/a	n/a	standard
116.9648437500	n/a	29943	stimulus	n/a	n/a	noise
117.9609375000	n/a	30198	stimulus	n/a	n/a	standard
118.9648437500	n/a	30455	stimulus	n/a	n/a	standard
119.9609375000	n/a	30710	stimulus	n/a	n/a	standard
120.9609375000	n/a	30966	stimulus	n/a	n/a	oddball
121.9648437500	n/a	31223	stimulus	n/a	n/a	standard
122.9609375000	n/a	31478	stimulus	n/a	n/a	noise
123.9687500000	n/a	31736	stimulus	n/a	n/a	standard
124.9726562500	n/a	31993	stimulus	n/a	n/a	standard
125.9687500000	n/a	32248	stimulus	n/a	n/a	standard
126.9687500000	n/a	32504	stimulus	n/a	n/a	noise
127.9687500000	n/a	32760	stimulus	n/a	n/a	standard
128.9726562500	n/a	33017	stimulus	n/a	n/a	oddball
129.9687500000	n/a	33272	stimulus	n/a	n/a	standard
130.9726562500	n/a	33529	stimulus	n/a	n/a	oddball
131.9687500000	n/a	33784	stimulus	199	n/a	standard_with_reponse
132.1679687500	n/a	33835	response	n/a	n/a	response
132.9726562500	n/a	34041	stimulus	n/a	n/a	standard
133.9726562500	n/a	34297	stimulus	441	n/a	oddball_with_reponse
134.4140625000	n/a	34410	response	n/a	n/a	response
134.9687500000	n/a	34552	stimulus	n/a	n/a	standard
135.9726562500	n/a	34809	stimulus	387	n/a	oddball_with_reponse
136.3593750000	n/a	34908	response	n/a	n/a	response
136.9726562500	n/a	35065	stimulus	n/a	n/a	standard
137.9687500000	n/a	35320	stimulus	n/a	n/a	standard
138.9726562500	n/a	35577	stimulus	n/a	n/a	oddball
139.9726562500	n/a	35833	stimulus	n/a	n/a	standard
140.9726562500	n/a	36089	stimulus	n/a	n/a	standard
141.9687500000	n/a	36344	stimulus	n/a	n/a	noise
142.9687500000	n/a	36600	stimulus	n/a	n/a	standard
143.9687500000	n/a	36856	stimulus	n/a	n/a	noise
144.9687500000	n/a	37112	stimulus	n/a	n/a	standard
145.9726562500	n/a	37369	stimulus	n/a	n/a	noise
146.9843750000	n/a	37628	stimulus	n/a	n/a	standard
147.9687500000	n/a	37880	stimulus	n/a	n/a	noise
148.9687500000	n/a	38136	stimulus	n/a	n/a	standard
149.9687500000	n/a	38392	stimulus	n/a	n/a	standard
150.9687500000	n/a	38648	stimulus	n/a	n/a	oddball
151.9687500000	n/a	38904	stimulus	n/a	n/a	standard
152.9687500000	n/a	39160	stimulus	n/a	n/a	standard
153.9687500000	n/a	39416	stimulus	555	n/a	oddball_with_reponse
154.5234375000	n/a	39558	response	n/a	n/a	response
154.9687500000	n/a	39672	stimulus	n/a	n/a	standard
155.9726562500	n/a	39929	stimulus	527	n/a	oddball_with_reponse
156.5000000000	n/a	40064	response	n/a	n/a	response
156.9765625000	n/a	40186	stimulus	n/a	n/a	standard
157.9687500000	n/a	40440	stimulus	n/a	n/a	standard
158.9726562500	n/a	40697	stimulus	n/a	n/a	noise
159.9687500000	n/a	40952	stimulus	n/a	n/a	standard
160.9687500000	n/a	41208	stimulus	n/a	n/a	standard
161.9687500000	n/a	41464	stimulus	n/a	n/a	noise
162.9687500000	n/a	41720	stimulus	n/a	n/a	standard
163.9687500000	n/a	41976	stimulus	n/a	n/a	noise
164.9687500000	n/a	42232	stimulus	n/a	n/a	standard
165.9726562500	n/a	42489	stimulus	715	n/a	oddball_with_reponse
166.6875000000	n/a	42672	response	n/a	n/a	response
166.9726562500	n/a	42745	stimulus	n/a	n/a	standard
167.9726562500	n/a	43001	stimulus	715	n/a	oddball_with_reponse
168.6875000000	n/a	43184	response	n/a	n/a	response
168.9687500000	n/a	43256	stimulus	n/a	n/a	standard
169.9726562500	n/a	43513	stimulus	n/a	n/a	noise
170.9726562500	n/a	43769	stimulus	n/a	n/a	standard
171.9726562500	n/a	44025	stimulus	n/a	n/a	standard
172.9687500000	n/a	44280	stimulus	n/a	n/a	noise
173.9687500000	n/a	44536	stimulus	n/a	n/a	standard
174.9726562500	n/a	44793	stimulus	996	n/a	oddball_with_reponse
175.9687500000	n/a	45048	response	n/a	n/a	response
175.9804687500	n/a	45051	n/a	n/a	n/a	ignore
176.9687500000	n/a	45304	stimulus	n/a	n/a	standard
177.9687500000	n/a	45560	stimulus	n/a	n/a	standard
178.9687500000	n/a	45816	stimulus	n/a	n/a	standard
179.9726562500	n/a	46073	stimulus	n/a	n/a	standard
180.9765625000	n/a	46330	stimulus	n/a	n/a	standard
181.9726562500	n/a	46585	stimulus	n/a	n/a	oddball
182.9726562500	n/a	46841	stimulus	n/a	n/a	standard
183.9726562500	n/a	47097	stimulus	n/a	n/a	standard
