onset	duration	sample	trial_type	response_time	stim_file	value
3.1406250000	n/a	804	stimulus	n/a	n/a	standard
4.1250000000	n/a	1056	stimulus	n/a	n/a	standard
5.1250000000	n/a	1312	stimulus	n/a	n/a	standard
6.1210937500	n/a	1567	stimulus	n/a	n/a	standard
7.1289062500	n/a	1825	stimulus	n/a	n/a	standard
8.1250000000	n/a	2080	stimulus	n/a	n/a	standard
9.1210937500	n/a	2335	stimulus	n/a	n/a	standard
10.1250000000	n/a	2592	stimulus	n/a	n/a	standard
11.1250000000	n/a	2848	stimulus	n/a	n/a	standard
12.1250000000	n/a	3104	stimulus	n/a	n/a	standard
13.1250000000	n/a	3360	stimulus	n/a	n/a	noise
14.1250000000	n/a	3616	stimulus	n/a	n/a	standard
15.1250000000	n/a	3872	stimulus	n/a	n/a	standard
16.1210937500	n/a	4127	stimulus	n/a	n/a	noise
17.1250000000	n/a	4384	stimulus	n/a	n/a	standard
18.1250000000	n/a	4640	stimulus	n/a	n/a	standard
19.1250000000	n/a	4896	stimulus	n/a	n/a	standard
20.1250000000	n/a	5152	stimulus	n/a	n/a	standard
21.1250000000	n/a	5408	stimulus	n/a	n/a	standard
22.1250000000	n/a	5664	stimulus	n/a	n/a	standard
23.1210937500	n/a	5919	stimulus	n/a	n/a	standard
24.1250000000	n/a	6176	stimulus	n/a	n/a	standard
25.1250000000	n/a	6432	stimulus	n/a	n/a	standard
26.1210937500	n/a	6687	stimulus	379	n/a	oddball_with_reponse
26.5000000000	n/a	6784	response	n/a	n/a	response
27.1250000000	n/a	6944	stimulus	n/a	n/a	standard
28.1445312500	n/a	7205	stimulus	n/a	n/a	standard
29.1250000000	n/a	7456	stimulus	n/a	n/a	oddball
30.1250000000	n/a	7712	stimulus	234	n/a	standard_with_reponse
30.3593750000	n/a	7772	response	n/a	n/a	response
31.1250000000	n/a	7968	stimulus	379	n/a	oddball_with_reponse
31.5039062500	n/a	8065	response	n/a	n/a	response
32.1250000000	n/a	8224	stimulus	n/a	n/a	standard
33.1250000000	n/a	8480	stimulus	n/a	n/a	noise
34.1250000000	n/a	8736	stimulus	n/a	n/a	standard
35.1250000000	n/a	8992	stimulus	402	n/a	oddball_with_reponse
35.5273437500	n/a	9095	response	n/a	n/a	response
36.1250000000	n/a	9248	stimulus	n/a	n/a	standard
37.1250000000	n/a	9504	stimulus	n/a	n/a	standard
38.1250000000	n/a	9760	stimulus	n/a	n/a	standard
39.1289062500	n/a	10017	stimulus	n/a	n/a	noise
40.1250000000	n/a	10272	stimulus	n/a	n/a	standard
41.1250000000	n/a	10528	stimulus	n/a	n/a	noise
42.1250000000	n/a	10784	stimulus	n/a	n/a	standard
43.1250000000	n/a	11040	stimulus	n/a	n/a	standard
44.1328125000	n/a	11298	stimulus	n/a	n/a	noise
45.1250000000	n/a	11552	stimulus	n/a	n/a	standard
46.1250000000	n/a	11808	stimulus	723	n/a	oddball_with_reponse
46.8476562500	n/a	11993	response	n/a	n/a	response
47.1250000000	n/a	12064	stimulus	n/a	n/a	standard
48.1250000000	n/a	12320	stimulus	359	n/a	oddball_with_reponse
48.4843750000	n/a	12412	response	n/a	n/a	response
49.1250000000	n/a	12576	stimulus	n/a	n/a	standard
50.1289062500	n/a	12833	stimulus	n/a	n/a	standard
51.1250000000	n/a	13088	stimulus	n/a	n/a	standard
52.1250000000	n/a	13344	stimulus	n/a	n/a	standard
53.1250000000	n/a	13600	stimulus	n/a	n/a	standard
54.1250000000	n/a	13856	stimulus	n/a	n/a	standard
55.1250000000	n/a	14112	stimulus	n/a	n/a	standard
56.1289062500	n/a	14369	stimulus	n/a	n/a	standard
57.1250000000	n/a	14624	stimulus	n/a	n/a	standard
58.1250000000	n/a	14880	stimulus	n/a	n/a	standard
59.1289062500	n/a	15137	stimulus	n/a	n/a	noise
60.1289062500	n/a	15393	stimulus	n/a	n/a	standard
61.1250000000	n/a	15648	stimulus	n/a	n/a	noise
62.1250000000	n/a	15904	stimulus	n/a	n/a	standard
63.1250000000	n/a	16160	stimulus	n/a	n/a	standard
64.1250000000	n/a	16416	stimulus	n/a	n/a	oddball
65.1289062500	n/a	16673	stimulus	n/a	n/a	standard
66.1250000000	n/a	16928	stimulus	n/a	n/a	standard
67.1289062500	n/a	17185	stimulus	n/a	n/a	noise
68.1250000000	n/a	17440	stimulus	n/a	n/a	standard
69.1250000000	n/a	17696	stimulus	684	n/a	oddball_with_reponse
69.8085937500	n/a	17871	response	n/a	n/a	response
70.1289062500	n/a	17953	stimulus	n/a	n/a	standard
71.1328125000	n/a	18210	stimulus	n/a	n/a	standard
72.1250000000	n/a	18464	stimulus	n/a	n/a	standard
73.1289062500	n/a	18721	stimulus	n/a	n/a	standard
74.1250000000	n/a	18976	stimulus	n/a	n/a	standard
75.1289062500	n/a	19233	stimulus	n/a	n/a	standard
76.1289062500	n/a	19489	stimulus	n/a	n/a	noise
77.1289062500	n/a	19745	stimulus	n/a	n/a	standard
78.1250000000	n/a	20000	stimulus	n/a	n/a	standard
79.1289062500	n/a	20257	stimulus	488	n/a	oddball_with_reponse
79.6171875000	n/a	20382	response	n/a	n/a	response
80.1250000000	n/a	20512	stimulus	n/a	n/a	standard
81.1289062500	n/a	20769	stimulus	n/a	n/a	standard
82.1250000000	n/a	21024	stimulus	891	n/a	oddball_with_reponse
83.0156250000	n/a	21252	response	n/a	n/a	response
83.1289062500	n/a	21281	n/a	n/a	n/a	ignore
84.1289062500	n/a	21537	stimulus	828	n/a	noise_with_reponse
84.9570312500	n/a	21749	response	n/a	n/a	response
85.1289062500	n/a	21793	stimulus	n/a	n/a	standard
86.1250000000	n/a	22048	stimulus	n/a	n/a	standard
87.1289062500	n/a	22305	stimulus	n/a	n/a	standard
88.1250000000	n/a	22560	stimulus	n/a	n/a	noise
89.1250000000	n/a	22816	stimulus	n/a	n/a	standard
90.1250000000	n/a	23072	stimulus	n/a	n/a	standard
91.1289062500	n/a	23329	stimulus	n/a	n/a	standard
92.1250000000	n/a	23584	stimulus	n/a	n/a	standard
93.1250000000	n/a	23840	stimulus	n/a	n/a	oddball
94.1250000000	n/a	24096	stimulus	n/a	n/a	standard
95.1250000000	n/a	24352	stimulus	n/a	n/a	standard
96.1250000000	n/a	24608	stimulus	n/a	n/a	noise
97.1250000000	n/a	24864	stimulus	n/a	n/a	standard
98.1250000000	n/a	25120	stimulus	965	n/a	oddball_with_reponse
99.0898437500	n/a	25367	response	n/a	n/a	response
99.1250000000	n/a	25376	n/a	n/a	n/a	ignore
100.1250000000	n/a	25632	stimulus	n/a	n/a	noise
101.1250000000	n/a	25888	stimulus	n/a	n/a	standard
102.1250000000	n/a	26144	stimulus	n/a	n/a	noise
103.1289062500	n/a	26401	stimulus	n/a	n/a	standard
