onset	duration	sample	trial_type	response_time	stim_file	value
2.7421875000	n/a	702	stimulus	n/a	n/a	standard
3.7265625000	n/a	954	stimulus	n/a	n/a	standard
4.7265625000	n/a	1210	stimulus	n/a	n/a	standard
5.7265625000	n/a	1466	stimulus	n/a	n/a	standard
6.7304687500	n/a	1723	stimulus	n/a	n/a	standard
7.7265625000	n/a	1978	stimulus	n/a	n/a	standard
8.7304687500	n/a	2235	stimulus	n/a	n/a	standard
9.7382812500	n/a	2493	stimulus	n/a	n/a	standard
10.7382812500	n/a	2749	stimulus	n/a	n/a	standard
11.7304687500	n/a	3003	stimulus	n/a	n/a	standard
12.7304687500	n/a	3259	stimulus	n/a	n/a	noise
13.7304687500	n/a	3515	stimulus	n/a	n/a	standard
14.7421875000	n/a	3774	stimulus	535	n/a	oddball_with_reponse
15.2773437500	n/a	3911	response	n/a	n/a	response
15.7382812500	n/a	4029	stimulus	n/a	n/a	standard
16.7304687500	n/a	4283	stimulus	n/a	n/a	standard
17.7304687500	n/a	4539	stimulus	n/a	n/a	standard
18.7343750000	n/a	4796	stimulus	n/a	n/a	standard
19.7343750000	n/a	5052	stimulus	n/a	n/a	standard
20.7304687500	n/a	5307	stimulus	n/a	n/a	standard
21.7304687500	n/a	5563	stimulus	586	n/a	oddball_with_reponse
22.3164062500	n/a	5713	response	n/a	n/a	response
22.7304687500	n/a	5819	stimulus	n/a	n/a	standard
23.7304687500	n/a	6075	stimulus	629	n/a	oddball_with_reponse
24.3593750000	n/a	6236	response	n/a	n/a	response
24.7382812500	n/a	6333	stimulus	n/a	n/a	standard
25.7382812500	n/a	6589	stimulus	n/a	n/a	standard
26.7304687500	n/a	6843	stimulus	n/a	n/a	standard
27.7304687500	n/a	7099	stimulus	n/a	n/a	standard
28.7304687500	n/a	7355	stimulus	n/a	n/a	noise
29.7382812500	n/a	7613	stimulus	n/a	n/a	standard
30.7343750000	n/a	7868	stimulus	n/a	n/a	noise
31.7343750000	n/a	8124	stimulus	n/a	n/a	standard
32.7304687500	n/a	8379	stimulus	n/a	n/a	standard
33.7343750000	n/a	8636	stimulus	n/a	n/a	noise
