onset	duration	sample	trial_type	response_time	stim_file	value
3.6015625000	n/a	922	stimulus	n/a	n/a	standard
4.6015625000	n/a	1178	stimulus	n/a	n/a	standard
5.6015625000	n/a	1434	stimulus	n/a	n/a	standard
6.6015625000	n/a	1690	stimulus	n/a	n/a	standard
7.6093750000	n/a	1948	stimulus	n/a	n/a	standard
8.6054687500	n/a	2203	stimulus	n/a	n/a	standard
9.5976562500	n/a	2457	stimulus	n/a	n/a	standard
10.5976562500	n/a	2713	stimulus	n/a	n/a	standard
11.5976562500	n/a	2969	stimulus	n/a	n/a	standard
12.6054687500	n/a	3227	stimulus	406	n/a	oddball_with_reponse
13.0117187500	n/a	3331	response	n/a	n/a	response
13.6093750000	n/a	3484	stimulus	n/a	n/a	standard
14.6015625000	n/a	3738	stimulus	n/a	n/a	noise
15.6054687500	n/a	3995	stimulus	n/a	n/a	standard
16.6015625000	n/a	4250	stimulus	n/a	n/a	noise
17.6093750000	n/a	4508	stimulus	n/a	n/a	standard
18.6015625000	n/a	4762	stimulus	n/a	n/a	noise
19.5976562500	n/a	5017	stimulus	n/a	n/a	standard
20.5976562500	n/a	5273	stimulus	n/a	n/a	noise
21.5976562500	n/a	5529	stimulus	n/a	n/a	standard
22.5976562500	n/a	5785	stimulus	520	n/a	oddball_with_reponse
23.1171875000	n/a	5918	response	n/a	n/a	response
23.6171875000	n/a	6046	stimulus	n/a	n/a	standard
24.5976562500	n/a	6297	stimulus	n/a	n/a	standard
25.6093750000	n/a	6556	stimulus	n/a	n/a	noise
26.6054687500	n/a	6811	stimulus	n/a	n/a	standard
27.6015625000	n/a	7066	stimulus	531	n/a	oddball_with_reponse
28.1328125000	n/a	7202	response	n/a	n/a	response
28.5976562500	n/a	7321	stimulus	n/a	n/a	standard
29.6015625000	n/a	7578	stimulus	n/a	n/a	noise
30.6054687500	n/a	7835	stimulus	n/a	n/a	standard
31.5976562500	n/a	8089	stimulus	n/a	n/a	noise
32.6015625000	n/a	8346	stimulus	n/a	n/a	standard
33.6054687500	n/a	8603	stimulus	n/a	n/a	standard
34.6093750000	n/a	8860	stimulus	n/a	n/a	noise
35.6132812500	n/a	9117	stimulus	n/a	n/a	standard
36.6054687500	n/a	9371	stimulus	n/a	n/a	standard
37.6093750000	n/a	9628	stimulus	496	n/a	oddball_with_reponse
38.1054687500	n/a	9755	response	n/a	n/a	response
38.6093750000	n/a	9884	stimulus	n/a	n/a	standard
39.6054687500	n/a	10139	stimulus	n/a	n/a	standard
40.6093750000	n/a	10396	stimulus	n/a	n/a	standard
41.6093750000	n/a	10652	stimulus	n/a	n/a	standard
42.6171875000	n/a	10910	stimulus	n/a	n/a	noise
43.6054687500	n/a	11163	stimulus	n/a	n/a	standard
44.6054687500	n/a	11419	stimulus	n/a	n/a	standard
45.6132812500	n/a	11677	stimulus	n/a	n/a	noise
