onset	duration	sample	trial_type	response_time	stim_file	value
4.4492187500	n/a	1139	stimulus	n/a	n/a	standard
5.2578125000	n/a	1346	stimulus	n/a	n/a	standard
6.2656250000	n/a	1604	stimulus	n/a	n/a	standard
7.3281250000	n/a	1876	stimulus	n/a	n/a	standard
8.3515625000	n/a	2138	stimulus	n/a	n/a	standard
9.2734375000	n/a	2374	stimulus	n/a	n/a	standard
10.2695312500	n/a	2629	stimulus	n/a	n/a	standard
11.3125000000	n/a	2896	stimulus	n/a	n/a	standard
12.3398437500	n/a	3159	stimulus	n/a	n/a	standard
13.3593750000	n/a	3420	stimulus	n/a	n/a	standard
14.3398437500	n/a	3671	stimulus	n/a	n/a	standard
15.3398437500	n/a	3927	stimulus	n/a	n/a	standard
16.3554687500	n/a	4187	stimulus	465	n/a	noise_with_reponse
16.8203125000	n/a	4306	response	n/a	n/a	response
17.4023437500	n/a	4455	stimulus	n/a	n/a	standard
18.3710937500	n/a	4703	stimulus	n/a	n/a	standard
19.3867187500	n/a	4963	stimulus	n/a	n/a	oddball
20.3515625000	n/a	5210	stimulus	n/a	n/a	standard
21.3515625000	n/a	5466	stimulus	n/a	n/a	noise
22.3671875000	n/a	5726	stimulus	n/a	n/a	standard
23.4179687500	n/a	5995	stimulus	n/a	n/a	standard
24.4375000000	n/a	6256	stimulus	395	n/a	oddball_with_reponse
24.8320312500	n/a	6357	response	n/a	n/a	response
25.3984375000	n/a	6502	stimulus	n/a	n/a	standard
26.4687500000	n/a	6776	stimulus	n/a	n/a	noise
27.4062500000	n/a	7016	stimulus	n/a	n/a	standard
28.4101562500	n/a	7273	stimulus	n/a	n/a	standard
29.4531250000	n/a	7540	stimulus	n/a	n/a	standard
30.4218750000	n/a	7788	stimulus	n/a	n/a	noise
31.4179687500	n/a	8043	stimulus	n/a	n/a	standard
32.4648437500	n/a	8311	stimulus	637	n/a	oddball_with_reponse
33.1015625000	n/a	8474	response	n/a	n/a	response
33.4960937500	n/a	8575	n/a	n/a	n/a	ignore
34.4726562500	n/a	8825	stimulus	n/a	n/a	standard
35.4765625000	n/a	9082	stimulus	n/a	n/a	standard
36.4882812500	n/a	9341	stimulus	n/a	n/a	standard
37.4648437500	n/a	9591	stimulus	n/a	n/a	standard
38.5234375000	n/a	9862	stimulus	656	n/a	oddball_with_reponse
39.1796875000	n/a	10030	response	n/a	n/a	response
39.5039062500	n/a	10113	n/a	n/a	n/a	ignore
40.5351562500	n/a	10377	stimulus	602	n/a	oddball_with_reponse
41.1367187500	n/a	10531	response	n/a	n/a	response
41.5156250000	n/a	10628	stimulus	n/a	n/a	standard
42.5820312500	n/a	10901	stimulus	469	n/a	oddball_with_reponse
43.0507812500	n/a	11021	response	n/a	n/a	response
43.5585937500	n/a	11151	stimulus	n/a	n/a	standard
44.5546875000	n/a	11406	stimulus	441	n/a	oddball_with_reponse
44.9960937500	n/a	11519	response	n/a	n/a	response
45.5742187500	n/a	11667	stimulus	n/a	n/a	standard
46.5664062500	n/a	11921	stimulus	n/a	n/a	standard
47.5820312500	n/a	12181	stimulus	n/a	n/a	noise
48.6328125000	n/a	12450	stimulus	n/a	n/a	standard
49.6523437500	n/a	12711	stimulus	n/a	n/a	standard
50.5937500000	n/a	12952	stimulus	559	n/a	oddball_with_reponse
51.1523437500	n/a	13095	response	n/a	n/a	response
51.6132812500	n/a	13213	stimulus	n/a	n/a	standard
52.6367187500	n/a	13475	stimulus	730	n/a	oddball_with_reponse
53.3671875000	n/a	13662	response	n/a	n/a	response
53.6015625000	n/a	13722	n/a	n/a	n/a	ignore
54.6835937500	n/a	13999	stimulus	469	n/a	oddball_with_reponse
55.1523437500	n/a	14119	response	n/a	n/a	response
55.6992187500	n/a	14259	stimulus	n/a	n/a	standard
56.7343750000	n/a	14524	stimulus	n/a	n/a	standard
57.6328125000	n/a	14754	stimulus	457	n/a	oddball_with_reponse
58.0898437500	n/a	14871	response	n/a	n/a	response
58.6914062500	n/a	15025	stimulus	n/a	n/a	standard
59.7812500000	n/a	15304	stimulus	n/a	n/a	noise
60.6835937500	n/a	15535	stimulus	n/a	n/a	standard
61.6601562500	n/a	15785	stimulus	n/a	n/a	standard
62.7343750000	n/a	16060	stimulus	n/a	n/a	standard
63.6445312500	n/a	16293	stimulus	n/a	n/a	noise
64.6718750000	n/a	16556	stimulus	n/a	n/a	standard
65.6562500000	n/a	16808	stimulus	n/a	n/a	standard
66.7109375000	n/a	17078	stimulus	n/a	n/a	standard
67.6796875000	n/a	17326	stimulus	n/a	n/a	standard
68.6718750000	n/a	17580	stimulus	n/a	n/a	standard
69.7148437500	n/a	17847	stimulus	457	n/a	oddball_with_reponse
70.1718750000	n/a	17964	response	n/a	n/a	response
70.7109375000	n/a	18102	stimulus	n/a	n/a	standard
71.7656250000	n/a	18372	stimulus	441	n/a	oddball_with_reponse
72.2070312500	n/a	18485	response	n/a	n/a	response
72.7460937500	n/a	18623	stimulus	n/a	n/a	standard
73.6953125000	n/a	18866	stimulus	n/a	n/a	standard
74.7070312500	n/a	19125	stimulus	496	n/a	oddball_with_reponse
75.2031250000	n/a	19252	response	n/a	n/a	response
75.7656250000	n/a	19396	stimulus	n/a	n/a	standard
76.6914062500	n/a	19633	stimulus	367	n/a	oddball_with_reponse
77.0585937500	n/a	19727	response	n/a	n/a	response
77.6953125000	n/a	19890	stimulus	n/a	n/a	standard
78.7031250000	n/a	20148	stimulus	n/a	n/a	standard
79.7539062500	n/a	20417	stimulus	n/a	n/a	standard
80.7187500000	n/a	20664	stimulus	n/a	n/a	standard
81.7421875000	n/a	20926	stimulus	n/a	n/a	noise
82.8203125000	n/a	21202	stimulus	n/a	n/a	standard
83.7265625000	n/a	21434	stimulus	438	n/a	oddball_with_reponse
84.1640625000	n/a	21546	response	n/a	n/a	response
84.7500000000	n/a	21696	stimulus	n/a	n/a	standard
85.7734375000	n/a	21958	stimulus	n/a	n/a	standard
86.7929687500	n/a	22219	stimulus	n/a	n/a	standard
87.7773437500	n/a	22471	stimulus	n/a	n/a	standard
88.7812500000	n/a	22728	stimulus	n/a	n/a	standard
89.7968750000	n/a	22988	stimulus	n/a	n/a	noise
90.8203125000	n/a	23250	stimulus	n/a	n/a	standard
91.8671875000	n/a	23518	stimulus	367	n/a	oddball_with_reponse
