onset	duration	sample	trial_type	response_time	stim_file	value
3.5234375000	n/a	902	stimulus	n/a	n/a	standard
4.4726562500	n/a	1145	stimulus	n/a	n/a	standard
5.4648437500	n/a	1399	stimulus	n/a	n/a	standard
6.4843750000	n/a	1660	stimulus	n/a	n/a	standard
7.4726562500	n/a	1913	stimulus	n/a	n/a	standard
8.4960937500	n/a	2175	stimulus	n/a	n/a	standard
9.4960937500	n/a	2431	stimulus	n/a	n/a	standard
10.4843750000	n/a	2684	stimulus	n/a	n/a	standard
11.5039062500	n/a	2945	stimulus	n/a	n/a	standard
12.4843750000	n/a	3196	stimulus	473	n/a	oddball_with_reponse
12.9570312500	n/a	3317	response	n/a	n/a	response
13.4921875000	n/a	3454	stimulus	n/a	n/a	standard
14.5195312500	n/a	3717	stimulus	n/a	n/a	standard
15.5195312500	n/a	3973	stimulus	555	n/a	oddball_with_reponse
16.0742187500	n/a	4115	response	n/a	n/a	response
16.5273437500	n/a	4231	stimulus	n/a	n/a	standard
17.5234375000	n/a	4486	stimulus	n/a	n/a	noise
18.5156250000	n/a	4740	stimulus	n/a	n/a	standard
19.5078125000	n/a	4994	stimulus	n/a	n/a	standard
20.5156250000	n/a	5252	stimulus	422	n/a	oddball_with_reponse
20.9375000000	n/a	5360	response	n/a	n/a	response
21.5390625000	n/a	5514	stimulus	n/a	n/a	standard
22.5156250000	n/a	5764	stimulus	n/a	n/a	standard
23.5507812500	n/a	6029	stimulus	n/a	n/a	noise
24.5625000000	n/a	6288	stimulus	n/a	n/a	standard
25.5429687500	n/a	6539	stimulus	n/a	n/a	noise
26.5390625000	n/a	6794	stimulus	n/a	n/a	standard
27.5390625000	n/a	7050	stimulus	395	n/a	oddball_with_reponse
27.9335937500	n/a	7151	response	n/a	n/a	response
28.5625000000	n/a	7312	stimulus	n/a	n/a	standard
29.5859375000	n/a	7574	stimulus	n/a	n/a	standard
30.5507812500	n/a	7821	stimulus	n/a	n/a	standard
31.5703125000	n/a	8082	stimulus	n/a	n/a	standard
32.5585937500	n/a	8335	stimulus	n/a	n/a	standard
33.5742187500	n/a	8595	stimulus	422	n/a	oddball_with_reponse
33.9960937500	n/a	8703	response	n/a	n/a	response
34.6289062500	n/a	8865	stimulus	n/a	n/a	standard
35.5937500000	n/a	9112	stimulus	n/a	n/a	standard
36.5976562500	n/a	9369	stimulus	n/a	n/a	standard
37.6015625000	n/a	9626	stimulus	n/a	n/a	standard
38.6289062500	n/a	9889	stimulus	n/a	n/a	noise
39.6523437500	n/a	10151	stimulus	n/a	n/a	standard
40.6132812500	n/a	10397	stimulus	418	n/a	oddball_with_reponse
41.0312500000	n/a	10504	response	n/a	n/a	response
41.6328125000	n/a	10658	stimulus	n/a	n/a	standard
42.6328125000	n/a	10914	stimulus	n/a	n/a	standard
43.6601562500	n/a	11177	stimulus	426	n/a	oddball_with_reponse
44.0859375000	n/a	11286	response	n/a	n/a	response
44.6289062500	n/a	11425	stimulus	n/a	n/a	standard
45.6445312500	n/a	11685	stimulus	n/a	n/a	standard
46.6484375000	n/a	11942	stimulus	477	n/a	oddball_with_reponse
47.1250000000	n/a	12064	response	n/a	n/a	response
47.6445312500	n/a	12197	stimulus	n/a	n/a	standard
48.6484375000	n/a	12454	stimulus	n/a	n/a	noise
49.6484375000	n/a	12710	stimulus	n/a	n/a	standard
50.6640625000	n/a	12970	stimulus	n/a	n/a	standard
51.7070312500	n/a	13237	stimulus	n/a	n/a	noise
52.6992187500	n/a	13491	stimulus	n/a	n/a	standard
53.6640625000	n/a	13738	stimulus	n/a	n/a	standard
54.6875000000	n/a	14000	stimulus	n/a	n/a	standard
55.7031250000	n/a	14260	stimulus	n/a	n/a	standard
56.7265625000	n/a	14522	stimulus	508	n/a	oddball_with_reponse
57.2343750000	n/a	14652	response	n/a	n/a	response
