onset	duration	sample	trial_type	response_time	stim_file	value
3.8125000000	n/a	976	stimulus	n/a	n/a	standard
4.7812500000	n/a	1224	stimulus	n/a	n/a	standard
5.7929687500	n/a	1483	stimulus	51	n/a	standard_with_reponse
5.8437500000	n/a	1496	response	n/a	n/a	response
6.7851562500	n/a	1737	stimulus	383	n/a	standard_with_reponse
7.1679687500	n/a	1835	response	n/a	n/a	response
7.7851562500	n/a	1993	stimulus	191	n/a	standard_with_reponse
7.9765625000	n/a	2042	response	n/a	n/a	response
8.7812500000	n/a	2248	stimulus	n/a	n/a	standard
9.7812500000	n/a	2504	stimulus	n/a	n/a	standard
10.7812500000	n/a	2760	stimulus	n/a	n/a	standard
11.7929687500	n/a	3019	stimulus	n/a	n/a	standard
12.7812500000	n/a	3272	stimulus	n/a	n/a	noise
13.7929687500	n/a	3531	stimulus	n/a	n/a	standard
14.7812500000	n/a	3784	stimulus	n/a	n/a	oddball
15.7812500000	n/a	4040	stimulus	n/a	n/a	standard
16.7929687500	n/a	4299	stimulus	n/a	n/a	standard
17.7812500000	n/a	4552	stimulus	n/a	n/a	standard
18.7968750000	n/a	4812	stimulus	n/a	n/a	standard
19.7851562500	n/a	5065	stimulus	418	n/a	oddball_with_reponse
20.2031250000	n/a	5172	response	n/a	n/a	response
20.7929687500	n/a	5323	stimulus	n/a	n/a	standard
21.7812500000	n/a	5576	stimulus	n/a	n/a	standard
22.7929687500	n/a	5835	stimulus	430	n/a	oddball_with_reponse
23.2226562500	n/a	5945	response	n/a	n/a	response
23.7929687500	n/a	6091	stimulus	n/a	n/a	standard
24.7812500000	n/a	6344	stimulus	n/a	n/a	noise
25.7812500000	n/a	6600	stimulus	n/a	n/a	standard
26.7812500000	n/a	6856	stimulus	n/a	n/a	standard
27.7929687500	n/a	7115	stimulus	n/a	n/a	standard
28.7851562500	n/a	7369	stimulus	n/a	n/a	noise
29.7812500000	n/a	7624	stimulus	n/a	n/a	standard
30.7929687500	n/a	7883	stimulus	n/a	n/a	standard
31.7851562500	n/a	8137	stimulus	453	n/a	oddball_with_reponse
32.2382812500	n/a	8253	response	n/a	n/a	response
32.7929687500	n/a	8395	stimulus	n/a	n/a	standard
33.7812500000	n/a	8648	stimulus	n/a	n/a	standard
34.8007812500	n/a	8909	stimulus	324	n/a	oddball_with_reponse
35.1250000000	n/a	8992	response	n/a	n/a	response
35.8046875000	n/a	9166	stimulus	n/a	n/a	standard
36.8046875000	n/a	9422	stimulus	n/a	n/a	standard
37.7968750000	n/a	9676	stimulus	n/a	n/a	standard
38.8007812500	n/a	9933	stimulus	n/a	n/a	noise
39.7968750000	n/a	10188	stimulus	n/a	n/a	standard
40.8085937500	n/a	10447	stimulus	n/a	n/a	noise
41.7968750000	n/a	10700	stimulus	n/a	n/a	standard
42.8007812500	n/a	10957	stimulus	n/a	n/a	noise
43.8007812500	n/a	11213	stimulus	n/a	n/a	standard
44.8125000000	n/a	11472	stimulus	n/a	n/a	noise
45.7968750000	n/a	11724	stimulus	n/a	n/a	standard
46.8007812500	n/a	11981	stimulus	680	n/a	oddball_with_reponse
47.4804687500	n/a	12155	response	n/a	n/a	response
47.8085937500	n/a	12239	stimulus	n/a	n/a	standard
48.8125000000	n/a	12496	stimulus	n/a	n/a	standard
49.8085937500	n/a	12751	stimulus	n/a	n/a	noise
50.8164062500	n/a	13009	stimulus	n/a	n/a	standard
51.8085937500	n/a	13263	stimulus	n/a	n/a	standard
52.8125000000	n/a	13520	stimulus	n/a	n/a	standard
53.8125000000	n/a	13776	stimulus	n/a	n/a	noise
54.8125000000	n/a	14032	stimulus	n/a	n/a	standard
55.8164062500	n/a	14289	stimulus	398	n/a	oddball_with_reponse
56.2148437500	n/a	14391	response	n/a	n/a	response
56.8125000000	n/a	14544	stimulus	n/a	n/a	standard
57.8085937500	n/a	14799	stimulus	n/a	n/a	noise
58.8125000000	n/a	15056	stimulus	n/a	n/a	standard
59.8085937500	n/a	15311	stimulus	395	n/a	oddball_with_reponse
60.2031250000	n/a	15412	response	n/a	n/a	response
60.8125000000	n/a	15568	stimulus	n/a	n/a	standard
61.8085937500	n/a	15823	stimulus	469	n/a	oddball_with_reponse
62.2773437500	n/a	15943	response	n/a	n/a	response
62.8085937500	n/a	16079	stimulus	n/a	n/a	standard
63.8085937500	n/a	16335	stimulus	n/a	n/a	noise
64.8125000000	n/a	16592	stimulus	n/a	n/a	standard
65.8085937500	n/a	16847	stimulus	n/a	n/a	standard
66.8085937500	n/a	17103	stimulus	648	n/a	oddball_with_reponse
67.4570312500	n/a	17269	response	n/a	n/a	response
67.8125000000	n/a	17360	stimulus	n/a	n/a	standard
68.8125000000	n/a	17616	stimulus	n/a	n/a	standard
69.8085937500	n/a	17871	stimulus	n/a	n/a	standard
70.8085937500	n/a	18127	stimulus	691	n/a	oddball_with_reponse
71.5000000000	n/a	18304	response	n/a	n/a	response
71.8085937500	n/a	18383	stimulus	n/a	n/a	standard
72.8125000000	n/a	18640	stimulus	703	n/a	oddball_with_reponse
73.5156250000	n/a	18820	response	n/a	n/a	response
73.8085937500	n/a	18895	stimulus	n/a	n/a	standard
74.8125000000	n/a	19152	stimulus	n/a	n/a	noise
75.8085937500	n/a	19407	stimulus	n/a	n/a	standard
76.8203125000	n/a	19666	stimulus	629	n/a	oddball_with_reponse
77.4492187500	n/a	19827	response	n/a	n/a	response
77.8085937500	n/a	19919	stimulus	n/a	n/a	standard
78.8203125000	n/a	20178	stimulus	n/a	n/a	standard
79.8164062500	n/a	20433	stimulus	n/a	n/a	noise
80.8203125000	n/a	20690	stimulus	n/a	n/a	standard
81.8164062500	n/a	20945	stimulus	n/a	n/a	standard
82.8164062500	n/a	21201	stimulus	n/a	n/a	standard
83.8164062500	n/a	21457	stimulus	598	n/a	oddball_with_reponse
84.4140625000	n/a	21610	response	n/a	n/a	response
84.8203125000	n/a	21714	stimulus	n/a	n/a	standard
85.8164062500	n/a	21969	stimulus	n/a	n/a	standard
86.8164062500	n/a	22225	stimulus	n/a	n/a	standard
87.8164062500	n/a	22481	stimulus	n/a	n/a	noise
88.8203125000	n/a	22738	stimulus	n/a	n/a	standard
89.8164062500	n/a	22993	stimulus	n/a	n/a	standard
90.8203125000	n/a	23250	stimulus	n/a	n/a	standard
91.8203125000	n/a	23506	stimulus	n/a	n/a	standard
92.8203125000	n/a	23762	stimulus	n/a	n/a	standard
93.8164062500	n/a	24017	stimulus	n/a	n/a	standard
94.8164062500	n/a	24273	stimulus	n/a	n/a	standard
95.8164062500	n/a	24529	stimulus	n/a	n/a	standard
96.8203125000	n/a	24786	stimulus	566	n/a	oddball_with_reponse
