onset	duration	sample	trial_type	response_time	stim_file	value
6.6484375000	n/a	1702	stimulus	n/a	n/a	standard
7.2890625000	n/a	1866	stimulus	n/a	n/a	standard
8.2929687500	n/a	2123	stimulus	n/a	n/a	standard
9.2812500000	n/a	2376	stimulus	n/a	n/a	standard
10.2968750000	n/a	2636	stimulus	n/a	n/a	standard
11.2968750000	n/a	2892	stimulus	n/a	n/a	standard
12.2890625000	n/a	3146	stimulus	n/a	n/a	standard
13.3164062500	n/a	3409	stimulus	n/a	n/a	standard
14.3007812500	n/a	3661	stimulus	n/a	n/a	standard
15.4062500000	n/a	3944	stimulus	n/a	n/a	standard
16.3085937500	n/a	4175	stimulus	305	n/a	oddball_with_reponse
16.6132812500	n/a	4253	response	n/a	n/a	response
17.3007812500	n/a	4429	stimulus	n/a	n/a	standard
18.3437500000	n/a	4696	stimulus	352	n/a	oddball_with_reponse
18.6953125000	n/a	4786	response	n/a	n/a	response
19.3164062500	n/a	4945	stimulus	n/a	n/a	standard
20.3281250000	n/a	5204	stimulus	n/a	n/a	standard
21.3125000000	n/a	5456	stimulus	n/a	n/a	standard
22.3554687500	n/a	5723	stimulus	n/a	n/a	noise
23.3203125000	n/a	5970	stimulus	n/a	n/a	standard
24.3554687500	n/a	6235	stimulus	n/a	n/a	standard
25.3281250000	n/a	6484	stimulus	n/a	n/a	standard
26.3359375000	n/a	6742	stimulus	324	n/a	oddball_with_reponse
26.6601562500	n/a	6825	response	n/a	n/a	response
27.3476562500	n/a	7001	stimulus	n/a	n/a	standard
28.3476562500	n/a	7257	stimulus	281	n/a	oddball_with_reponse
28.6289062500	n/a	7329	response	n/a	n/a	response
29.4492187500	n/a	7539	stimulus	n/a	n/a	standard
30.3867187500	n/a	7779	stimulus	n/a	n/a	standard
31.3906250000	n/a	8036	stimulus	n/a	n/a	noise
32.3867187500	n/a	8291	stimulus	n/a	n/a	standard
33.3906250000	n/a	8548	stimulus	n/a	n/a	standard
34.4023437500	n/a	8807	stimulus	n/a	n/a	noise
35.3710937500	n/a	9055	stimulus	n/a	n/a	standard
36.3945312500	n/a	9317	stimulus	n/a	n/a	standard
37.4023437500	n/a	9575	stimulus	n/a	n/a	standard
38.4570312500	n/a	9845	stimulus	n/a	n/a	standard
39.4101562500	n/a	10089	stimulus	n/a	n/a	noise
40.4296875000	n/a	10350	stimulus	n/a	n/a	standard
41.4492187500	n/a	10611	stimulus	n/a	n/a	noise
42.4023437500	n/a	10855	stimulus	n/a	n/a	standard
43.4375000000	n/a	11120	stimulus	n/a	n/a	standard
44.4296875000	n/a	11374	stimulus	n/a	n/a	noise
45.4140625000	n/a	11626	stimulus	n/a	n/a	standard
46.4570312500	n/a	11893	stimulus	n/a	n/a	standard
47.4609375000	n/a	12150	stimulus	320	n/a	oddball_with_reponse
47.7812500000	n/a	12232	response	n/a	n/a	response
48.4765625000	n/a	12410	stimulus	n/a	n/a	standard
49.4960937500	n/a	12671	stimulus	n/a	n/a	standard
50.4921875000	n/a	12926	stimulus	n/a	n/a	standard
51.5351562500	n/a	13193	stimulus	309	n/a	oddball_with_reponse
51.8437500000	n/a	13272	response	n/a	n/a	response
52.5039062500	n/a	13441	stimulus	n/a	n/a	standard
53.4960937500	n/a	13695	stimulus	n/a	n/a	standard
54.4960937500	n/a	13951	stimulus	n/a	n/a	standard
55.5195312500	n/a	14213	stimulus	n/a	n/a	noise
56.5000000000	n/a	14464	stimulus	n/a	n/a	standard
57.5000000000	n/a	14720	stimulus	n/a	n/a	noise
58.5234375000	n/a	14982	stimulus	n/a	n/a	standard
59.5664062500	n/a	15249	stimulus	297	n/a	oddball_with_reponse
59.8632812500	n/a	15325	response	n/a	n/a	response
60.5078125000	n/a	15490	stimulus	n/a	n/a	standard
61.5820312500	n/a	15765	stimulus	n/a	n/a	standard
62.5625000000	n/a	16016	stimulus	n/a	n/a	standard
63.5117187500	n/a	16259	stimulus	355	n/a	oddball_with_reponse
63.8671875000	n/a	16350	response	n/a	n/a	response
64.5351562500	n/a	16521	stimulus	n/a	n/a	standard
65.5585937500	n/a	16783	stimulus	238	n/a	oddball_with_reponse
65.7968750000	n/a	16844	response	n/a	n/a	response
66.6015625000	n/a	17050	stimulus	n/a	n/a	standard
67.5507812500	n/a	17293	stimulus	n/a	n/a	standard
68.6171875000	n/a	17566	stimulus	n/a	n/a	standard
69.5664062500	n/a	17809	stimulus	n/a	n/a	noise
70.5781250000	n/a	18068	stimulus	n/a	n/a	standard
71.6367187500	n/a	18339	stimulus	n/a	n/a	standard
72.5781250000	n/a	18580	stimulus	426	n/a	oddball_with_reponse
73.0039062500	n/a	18689	response	n/a	n/a	response
73.5585937500	n/a	18831	stimulus	n/a	n/a	standard
74.5742187500	n/a	19091	stimulus	n/a	n/a	standard
75.6406250000	n/a	19364	stimulus	n/a	n/a	standard
76.6093750000	n/a	19612	stimulus	n/a	n/a	standard
77.6093750000	n/a	19868	stimulus	262	n/a	oddball_with_reponse
77.8710937500	n/a	19935	response	n/a	n/a	response
78.6054687500	n/a	20123	stimulus	n/a	n/a	standard
79.6171875000	n/a	20382	stimulus	n/a	n/a	standard
80.6562500000	n/a	20648	stimulus	n/a	n/a	standard
81.6445312500	n/a	20901	stimulus	n/a	n/a	standard
82.6289062500	n/a	21153	stimulus	305	n/a	oddball_with_reponse
82.9335937500	n/a	21231	response	n/a	n/a	response
83.6367187500	n/a	21411	stimulus	n/a	n/a	standard
84.6210937500	n/a	21663	stimulus	n/a	n/a	standard
85.6406250000	n/a	21924	stimulus	340	n/a	oddball_with_reponse
85.9804687500	n/a	22011	response	n/a	n/a	response
86.6132812500	n/a	22173	stimulus	n/a	n/a	standard
87.6562500000	n/a	22440	stimulus	n/a	n/a	standard
88.6562500000	n/a	22696	stimulus	n/a	n/a	standard
89.7226562500	n/a	22969	stimulus	320	n/a	oddball_with_reponse
90.0429687500	n/a	23051	response	n/a	n/a	response
90.6875000000	n/a	23216	stimulus	n/a	n/a	standard
91.6875000000	n/a	23472	stimulus	n/a	n/a	standard
92.6796875000	n/a	23726	stimulus	n/a	n/a	standard
93.6835937500	n/a	23983	stimulus	n/a	n/a	standard
94.7148437500	n/a	24247	stimulus	n/a	n/a	standard
95.6875000000	n/a	24496	stimulus	324	n/a	oddball_with_reponse
96.0117187500	n/a	24579	response	n/a	n/a	response
96.7109375000	n/a	24758	stimulus	n/a	n/a	standard
97.7304687500	n/a	25019	stimulus	n/a	n/a	standard
98.7656250000	n/a	25284	stimulus	309	n/a	oddball_with_reponse
99.0742187500	n/a	25363	response	n/a	n/a	response
99.7109375000	n/a	25526	stimulus	n/a	n/a	standard
100.8007812500	n/a	25805	stimulus	n/a	n/a	noise
101.7304687500	n/a	26043	stimulus	n/a	n/a	standard
102.7578125000	n/a	26306	stimulus	n/a	n/a	noise
103.7460937500	n/a	26559	stimulus	n/a	n/a	standard
104.7382812500	n/a	26813	stimulus	613	n/a	oddball_with_reponse
105.3515625000	n/a	26970	response	n/a	n/a	response
105.7265625000	n/a	27066	stimulus	n/a	n/a	standard
106.7187500000	n/a	27320	stimulus	402	n/a	oddball_with_reponse
107.1210937500	n/a	27423	response	n/a	n/a	response
107.7460937500	n/a	27583	stimulus	n/a	n/a	standard
108.7773437500	n/a	27847	stimulus	n/a	n/a	standard
109.7617187500	n/a	28099	stimulus	n/a	n/a	standard
110.7578125000	n/a	28354	stimulus	n/a	n/a	standard
111.7851562500	n/a	28617	stimulus	n/a	n/a	standard
112.7656250000	n/a	28868	stimulus	n/a	n/a	standard
113.8125000000	n/a	29136	stimulus	n/a	n/a	standard
114.7851562500	n/a	29385	stimulus	328	n/a	oddball_with_reponse
115.1132812500	n/a	29469	response	n/a	n/a	response
115.8164062500	n/a	29649	stimulus	n/a	n/a	standard
116.8085937500	n/a	29903	stimulus	n/a	n/a	standard
117.8085937500	n/a	30159	stimulus	n/a	n/a	standard
118.8242187500	n/a	30419	stimulus	n/a	n/a	standard
119.8359375000	n/a	30678	stimulus	n/a	n/a	noise
120.8359375000	n/a	30934	stimulus	n/a	n/a	standard
121.8398437500	n/a	31191	stimulus	n/a	n/a	standard
122.8437500000	n/a	31448	stimulus	344	n/a	oddball_with_reponse
123.1875000000	n/a	31536	response	n/a	n/a	response
123.8750000000	n/a	31712	stimulus	n/a	n/a	standard
124.9140625000	n/a	31978	stimulus	n/a	n/a	standard
125.9101562500	n/a	32233	stimulus	n/a	n/a	standard
126.8789062500	n/a	32481	stimulus	379	n/a	oddball_with_reponse
127.2578125000	n/a	32578	response	n/a	n/a	response
127.9453125000	n/a	32754	stimulus	n/a	n/a	standard
128.8828125000	n/a	32994	stimulus	n/a	n/a	noise
129.8945312500	n/a	33253	stimulus	n/a	n/a	standard
130.9140625000	n/a	33514	stimulus	n/a	n/a	standard
131.9140625000	n/a	33770	stimulus	n/a	n/a	standard
132.9648437500	n/a	34039	stimulus	242	n/a	oddball_with_reponse
133.2070312500	n/a	34101	response	n/a	n/a	response
133.9257812500	n/a	34285	stimulus	n/a	n/a	standard
134.9062500000	n/a	34536	stimulus	n/a	n/a	standard
135.9179687500	n/a	34795	stimulus	n/a	n/a	standard
136.9375000000	n/a	35056	stimulus	285	n/a	oddball_with_reponse
137.2226562500	n/a	35129	response	n/a	n/a	response
137.9570312500	n/a	35317	stimulus	n/a	n/a	standard
138.9453125000	n/a	35570	stimulus	n/a	n/a	noise
139.9375000000	n/a	35824	stimulus	n/a	n/a	standard
140.9375000000	n/a	36080	stimulus	n/a	n/a	noise
141.9335937500	n/a	36335	stimulus	n/a	n/a	standard
142.9492187500	n/a	36595	stimulus	n/a	n/a	standard
143.9843750000	n/a	36860	stimulus	n/a	n/a	standard
144.9882812500	n/a	37117	stimulus	n/a	n/a	standard
145.9531250000	n/a	37364	stimulus	n/a	n/a	noise
146.9492187500	n/a	37619	stimulus	n/a	n/a	standard
147.9492187500	n/a	37875	stimulus	312	n/a	oddball_with_reponse
148.2617187500	n/a	37955	response	n/a	n/a	response
148.9804687500	n/a	38139	stimulus	n/a	n/a	standard
149.9843750000	n/a	38396	stimulus	n/a	n/a	standard
150.9570312500	n/a	38645	stimulus	n/a	n/a	standard
151.9765625000	n/a	38906	stimulus	n/a	n/a	standard
152.9960937500	n/a	39167	stimulus	n/a	n/a	noise
154.0117187500	n/a	39427	stimulus	n/a	n/a	standard
154.9765625000	n/a	39674	stimulus	n/a	n/a	noise
155.9921875000	n/a	39934	stimulus	n/a	n/a	standard
157.0078125000	n/a	40194	stimulus	n/a	n/a	standard
158.0156250000	n/a	40452	stimulus	n/a	n/a	standard
159.0585937500	n/a	40719	stimulus	n/a	n/a	standard
160.0234375000	n/a	40966	stimulus	n/a	n/a	standard
161.0273437500	n/a	41223	stimulus	n/a	n/a	standard
162.0039062500	n/a	41473	stimulus	n/a	n/a	noise
163.0156250000	n/a	41732	stimulus	n/a	n/a	standard
164.0039062500	n/a	41985	stimulus	n/a	n/a	noise
165.0859375000	n/a	42262	stimulus	n/a	n/a	standard
166.0820312500	n/a	42517	stimulus	n/a	n/a	standard
167.1210937500	n/a	42783	stimulus	n/a	n/a	standard
168.0742187500	n/a	43027	stimulus	n/a	n/a	standard
169.0625000000	n/a	43280	stimulus	n/a	n/a	noise
170.0937500000	n/a	43544	stimulus	n/a	n/a	standard
171.0976562500	n/a	43801	stimulus	n/a	n/a	noise
172.1171875000	n/a	44062	stimulus	n/a	n/a	standard
173.0937500000	n/a	44312	stimulus	n/a	n/a	standard
174.0937500000	n/a	44568	stimulus	n/a	n/a	standard
175.1367187500	n/a	44835	stimulus	n/a	n/a	standard
176.1132812500	n/a	45085	stimulus	n/a	n/a	standard
177.1015625000	n/a	45338	stimulus	289	n/a	oddball_with_reponse
177.3906250000	n/a	45412	response	n/a	n/a	response
178.1015625000	n/a	45594	stimulus	n/a	n/a	standard
179.1210937500	n/a	45855	stimulus	n/a	n/a	noise
180.1093750000	n/a	46108	stimulus	n/a	n/a	standard
181.1328125000	n/a	46370	stimulus	n/a	n/a	noise
182.1132812500	n/a	46621	stimulus	n/a	n/a	standard
183.1445312500	n/a	46885	stimulus	n/a	n/a	standard
184.1250000000	n/a	47136	stimulus	n/a	n/a	standard
185.1250000000	n/a	47392	stimulus	277	n/a	oddball_with_reponse
185.4023437500	n/a	47463	response	n/a	n/a	response
186.1367187500	n/a	47651	stimulus	n/a	n/a	standard
187.1250000000	n/a	47904	stimulus	n/a	n/a	standard
188.1289062500	n/a	48161	stimulus	n/a	n/a	noise
189.1445312500	n/a	48421	stimulus	n/a	n/a	standard
190.1601562500	n/a	48681	stimulus	n/a	n/a	noise
191.1367187500	n/a	48931	stimulus	n/a	n/a	standard
192.1367187500	n/a	49187	stimulus	414	n/a	oddball_with_reponse
192.5507812500	n/a	49293	response	n/a	n/a	response
193.1796875000	n/a	49454	stimulus	n/a	n/a	standard
194.1796875000	n/a	49710	stimulus	n/a	n/a	noise
195.1406250000	n/a	49956	stimulus	n/a	n/a	standard
196.1406250000	n/a	50212	stimulus	n/a	n/a	noise
197.1367187500	n/a	50467	stimulus	n/a	n/a	standard
198.1367187500	n/a	50723	stimulus	285	n/a	oddball_with_reponse
198.4218750000	n/a	50796	response	n/a	n/a	response
199.1367187500	n/a	50979	stimulus	n/a	n/a	standard
200.1406250000	n/a	51236	stimulus	n/a	n/a	standard
201.1992187500	n/a	51507	stimulus	n/a	n/a	standard
202.1562500000	n/a	51752	stimulus	n/a	n/a	noise
203.1679687500	n/a	52011	stimulus	n/a	n/a	standard
204.1406250000	n/a	52260	stimulus	n/a	n/a	standard
205.1406250000	n/a	52516	stimulus	n/a	n/a	standard
206.1484375000	n/a	52774	stimulus	n/a	n/a	standard
207.1562500000	n/a	53032	stimulus	270	n/a	oddball_with_reponse
207.4257812500	n/a	53101	response	n/a	n/a	response
208.1718750000	n/a	53292	stimulus	n/a	n/a	standard
209.1757812500	n/a	53549	stimulus	n/a	n/a	standard
210.1718750000	n/a	53804	stimulus	297	n/a	oddball_with_reponse
210.4687500000	n/a	53880	response	n/a	n/a	response
211.1796875000	n/a	54062	stimulus	n/a	n/a	standard
212.1914062500	n/a	54321	stimulus	n/a	n/a	noise
213.1835937500	n/a	54575	stimulus	n/a	n/a	standard
214.1835937500	n/a	54831	stimulus	n/a	n/a	noise
215.2148437500	n/a	55095	stimulus	n/a	n/a	standard
216.1914062500	n/a	55345	stimulus	n/a	n/a	standard
217.1992187500	n/a	55603	stimulus	285	n/a	oddball_with_reponse
217.4843750000	n/a	55676	response	n/a	n/a	response
218.2187500000	n/a	55864	stimulus	n/a	n/a	standard
219.2421875000	n/a	56126	stimulus	n/a	n/a	standard
220.2226562500	n/a	56377	stimulus	n/a	n/a	standard
221.2148437500	n/a	56631	stimulus	n/a	n/a	noise
222.2070312500	n/a	56885	stimulus	n/a	n/a	standard
223.2304687500	n/a	57147	stimulus	n/a	n/a	noise
224.2265625000	n/a	57402	stimulus	n/a	n/a	standard
225.2382812500	n/a	57661	stimulus	n/a	n/a	standard
226.2304687500	n/a	57915	stimulus	n/a	n/a	noise
227.2421875000	n/a	58174	stimulus	n/a	n/a	standard
228.2187500000	n/a	58424	stimulus	n/a	n/a	standard
229.2226562500	n/a	58681	stimulus	n/a	n/a	noise
230.2695312500	n/a	58949	stimulus	n/a	n/a	standard
231.2929687500	n/a	59211	stimulus	n/a	n/a	standard
232.2695312500	n/a	59461	stimulus	n/a	n/a	standard
233.2539062500	n/a	59713	stimulus	n/a	n/a	noise
234.2929687500	n/a	59979	stimulus	n/a	n/a	standard
235.3085937500	n/a	60239	stimulus	n/a	n/a	standard
236.3437500000	n/a	60504	stimulus	n/a	n/a	noise
237.2890625000	n/a	60746	stimulus	n/a	n/a	standard
238.2890625000	n/a	61002	stimulus	n/a	n/a	noise
239.2890625000	n/a	61258	stimulus	n/a	n/a	standard
240.3359375000	n/a	61526	stimulus	n/a	n/a	standard
241.3359375000	n/a	61782	stimulus	320	n/a	oddball_with_reponse
241.6562500000	n/a	61864	response	n/a	n/a	response
242.3320312500	n/a	62037	stimulus	n/a	n/a	standard
243.3164062500	n/a	62289	stimulus	n/a	n/a	standard
244.3359375000	n/a	62550	stimulus	n/a	n/a	standard
245.3671875000	n/a	62814	stimulus	n/a	n/a	noise
246.3750000000	n/a	63072	stimulus	n/a	n/a	standard
247.3554687500	n/a	63323	stimulus	n/a	n/a	standard
248.4375000000	n/a	63600	stimulus	n/a	n/a	standard
249.3789062500	n/a	63841	stimulus	n/a	n/a	standard
250.4062500000	n/a	64104	stimulus	n/a	n/a	standard
251.4218750000	n/a	64364	stimulus	n/a	n/a	standard
252.4179687500	n/a	64619	stimulus	n/a	n/a	standard
253.3789062500	n/a	64865	stimulus	n/a	n/a	standard
254.4179687500	n/a	65131	stimulus	n/a	n/a	noise
255.4062500000	n/a	65384	stimulus	n/a	n/a	standard
256.3945312500	n/a	65637	stimulus	n/a	n/a	standard
257.4179687500	n/a	65899	stimulus	n/a	n/a	standard
258.4218750000	n/a	66156	stimulus	309	n/a	oddball_with_reponse
258.7304687500	n/a	66235	response	n/a	n/a	response
259.4257812500	n/a	66413	stimulus	n/a	n/a	standard
260.3906250000	n/a	66660	stimulus	n/a	n/a	standard
261.4062500000	n/a	66920	stimulus	n/a	n/a	standard
262.4296875000	n/a	67182	stimulus	n/a	n/a	standard
263.4296875000	n/a	67438	stimulus	n/a	n/a	noise
264.4179687500	n/a	67691	stimulus	n/a	n/a	standard
265.4375000000	n/a	67952	stimulus	n/a	n/a	standard
266.4257812500	n/a	68205	stimulus	n/a	n/a	standard
267.4843750000	n/a	68476	stimulus	n/a	n/a	standard
268.4648437500	n/a	68727	stimulus	n/a	n/a	standard
269.4609375000	n/a	68982	stimulus	n/a	n/a	noise
270.4843750000	n/a	69244	stimulus	n/a	n/a	standard
271.5585937500	n/a	69519	stimulus	n/a	n/a	standard
272.5078125000	n/a	69762	stimulus	395	n/a	oddball_with_reponse
272.9023437500	n/a	69863	response	n/a	n/a	response
273.5039062500	n/a	70017	stimulus	n/a	n/a	standard
274.5234375000	n/a	70278	stimulus	n/a	n/a	standard
275.5039062500	n/a	70529	stimulus	n/a	n/a	standard
276.5156250000	n/a	70788	stimulus	n/a	n/a	standard
277.5429687500	n/a	71051	stimulus	n/a	n/a	standard
278.4882812500	n/a	71293	stimulus	285	n/a	oddball_with_reponse
278.7734375000	n/a	71366	response	n/a	n/a	response
279.5000000000	n/a	71552	stimulus	n/a	n/a	standard
280.4882812500	n/a	71805	stimulus	395	n/a	oddball_with_reponse
280.8828125000	n/a	71906	response	n/a	n/a	response
281.4882812500	n/a	72061	stimulus	n/a	n/a	standard
282.5429687500	n/a	72331	stimulus	n/a	n/a	noise
283.5429687500	n/a	72587	stimulus	n/a	n/a	standard
284.5312500000	n/a	72840	stimulus	n/a	n/a	noise
285.5351562500	n/a	73097	stimulus	n/a	n/a	standard
286.5585937500	n/a	73359	stimulus	328	n/a	oddball_with_reponse
286.8867187500	n/a	73443	response	n/a	n/a	response
287.5898437500	n/a	73623	stimulus	n/a	n/a	standard
288.6171875000	n/a	73886	stimulus	n/a	n/a	noise
289.5546875000	n/a	74126	stimulus	n/a	n/a	standard
290.5546875000	n/a	74382	stimulus	n/a	n/a	standard
291.5898437500	n/a	74647	stimulus	n/a	n/a	standard
292.6171875000	n/a	74910	stimulus	n/a	n/a	standard
293.6210937500	n/a	75167	stimulus	n/a	n/a	standard
294.6523437500	n/a	75431	stimulus	n/a	n/a	standard
295.6562500000	n/a	75688	stimulus	n/a	n/a	standard
296.6093750000	n/a	75932	stimulus	n/a	n/a	oddball
297.6445312500	n/a	76197	stimulus	n/a	n/a	standard
298.7031250000	n/a	76468	stimulus	n/a	n/a	noise
299.6328125000	n/a	76706	stimulus	n/a	n/a	standard
300.6250000000	n/a	76960	stimulus	n/a	n/a	standard
301.6757812500	n/a	77229	stimulus	297	n/a	oddball_with_reponse
301.9726562500	n/a	77305	response	n/a	n/a	response
302.6601562500	n/a	77481	stimulus	n/a	n/a	standard
303.6523437500	n/a	77735	stimulus	352	n/a	oddball_with_reponse
304.0039062500	n/a	77825	response	n/a	n/a	response
304.6289062500	n/a	77985	stimulus	n/a	n/a	standard
305.6640625000	n/a	78250	stimulus	n/a	n/a	standard
306.6835937500	n/a	78511	stimulus	n/a	n/a	noise
307.6562500000	n/a	78760	stimulus	n/a	n/a	standard
308.6992187500	n/a	79027	stimulus	336	n/a	oddball_with_reponse
309.0351562500	n/a	79113	response	n/a	n/a	response
309.6601562500	n/a	79273	stimulus	n/a	n/a	standard
310.6601562500	n/a	79529	stimulus	n/a	n/a	standard
311.6914062500	n/a	79793	stimulus	n/a	n/a	standard
312.6601562500	n/a	80041	stimulus	n/a	n/a	noise
313.7304687500	n/a	80315	stimulus	n/a	n/a	standard
314.7578125000	n/a	80578	stimulus	n/a	n/a	standard
315.7109375000	n/a	80822	stimulus	n/a	n/a	noise
316.7890625000	n/a	81098	stimulus	n/a	n/a	standard
317.7929687500	n/a	81355	stimulus	395	n/a	oddball_with_reponse
318.1875000000	n/a	81456	response	n/a	n/a	response
318.7187500000	n/a	81592	stimulus	n/a	n/a	standard
319.7343750000	n/a	81852	stimulus	387	n/a	oddball_with_reponse
320.1210937500	n/a	81951	response	n/a	n/a	response
320.7617187500	n/a	82115	stimulus	n/a	n/a	standard
321.7578125000	n/a	82370	stimulus	n/a	n/a	standard
322.7617187500	n/a	82627	stimulus	324	n/a	oddball_with_reponse
323.0859375000	n/a	82710	response	n/a	n/a	response
323.7656250000	n/a	82884	stimulus	n/a	n/a	standard
324.7773437500	n/a	83143	stimulus	n/a	n/a	standard
325.7773437500	n/a	83399	stimulus	316	n/a	oddball_with_reponse
326.0937500000	n/a	83480	response	n/a	n/a	response
326.8437500000	n/a	83672	stimulus	n/a	n/a	standard
327.8398437500	n/a	83927	stimulus	281	n/a	oddball_with_reponse
328.1210937500	n/a	83999	response	n/a	n/a	response
328.8398437500	n/a	84183	stimulus	n/a	n/a	standard
329.8046875000	n/a	84430	stimulus	n/a	n/a	standard
330.8242187500	n/a	84691	stimulus	297	n/a	oddball_with_reponse
331.1210937500	n/a	84767	response	n/a	n/a	response
331.7968750000	n/a	84940	stimulus	n/a	n/a	standard
332.8320312500	n/a	85205	stimulus	320	n/a	oddball_with_reponse
333.1523437500	n/a	85287	response	n/a	n/a	response
333.8750000000	n/a	85472	stimulus	n/a	n/a	standard
334.8554687500	n/a	85723	stimulus	258	n/a	oddball_with_reponse
335.1132812500	n/a	85789	response	n/a	n/a	response
335.8437500000	n/a	85976	stimulus	n/a	n/a	standard
336.8398437500	n/a	86231	stimulus	n/a	n/a	standard
337.8164062500	n/a	86481	stimulus	n/a	n/a	standard
338.8320312500	n/a	86741	stimulus	n/a	n/a	standard
339.8281250000	n/a	86996	stimulus	n/a	n/a	standard
340.8203125000	n/a	87250	stimulus	289	n/a	oddball_with_reponse
341.1093750000	n/a	87324	response	n/a	n/a	response
341.8789062500	n/a	87521	stimulus	n/a	n/a	standard
342.8242187500	n/a	87763	stimulus	n/a	n/a	standard
343.8320312500	n/a	88021	stimulus	n/a	n/a	standard
344.8710937500	n/a	88287	stimulus	n/a	n/a	standard
345.8476562500	n/a	88537	stimulus	n/a	n/a	standard
346.8476562500	n/a	88793	stimulus	n/a	n/a	standard
