onset	duration	sample	trial_type	response_time	stim_file	value
3.4296875000	n/a	878	stimulus	n/a	n/a	standard
4.4335937500	n/a	1135	stimulus	n/a	n/a	standard
5.4648437500	n/a	1399	stimulus	n/a	n/a	standard
6.4648437500	n/a	1655	stimulus	n/a	n/a	standard
7.5039062500	n/a	1921	stimulus	n/a	n/a	standard
8.4492187500	n/a	2163	stimulus	n/a	n/a	standard
9.4531250000	n/a	2420	stimulus	n/a	n/a	standard
10.4492187500	n/a	2675	stimulus	n/a	n/a	standard
11.4648437500	n/a	2935	stimulus	n/a	n/a	standard
12.4804687500	n/a	3195	stimulus	n/a	n/a	standard
13.4804687500	n/a	3451	stimulus	n/a	n/a	standard
14.4882812500	n/a	3709	stimulus	n/a	n/a	standard
15.4882812500	n/a	3965	stimulus	531	n/a	oddball_with_reponse
16.0195312500	n/a	4101	response	n/a	n/a	response
16.4765625000	n/a	4218	stimulus	n/a	n/a	standard
17.5000000000	n/a	4480	stimulus	n/a	n/a	standard
18.5195312500	n/a	4741	stimulus	n/a	n/a	standard
19.5273437500	n/a	4999	stimulus	n/a	n/a	standard
20.5156250000	n/a	5252	stimulus	574	n/a	oddball_with_reponse
21.0898437500	n/a	5399	response	n/a	n/a	response
21.5898437500	n/a	5527	stimulus	n/a	n/a	standard
22.5898437500	n/a	5783	stimulus	n/a	n/a	standard
23.5703125000	n/a	6034	stimulus	n/a	n/a	standard
24.5390625000	n/a	6282	stimulus	418	n/a	oddball_with_reponse
24.9570312500	n/a	6389	response	n/a	n/a	response
25.5351562500	n/a	6537	stimulus	n/a	n/a	standard
26.5898437500	n/a	6807	stimulus	n/a	n/a	standard
27.5898437500	n/a	7063	stimulus	n/a	n/a	standard
28.5742187500	n/a	7315	stimulus	n/a	n/a	noise
29.5898437500	n/a	7575	stimulus	n/a	n/a	standard
30.6054687500	n/a	7835	stimulus	n/a	n/a	standard
31.6835937500	n/a	8111	stimulus	734	n/a	oddball_with_reponse
32.4179687500	n/a	8299	response	n/a	n/a	response
32.6484375000	n/a	8358	stimulus	n/a	n/a	standard
33.7109375000	n/a	8630	stimulus	n/a	n/a	noise
34.6875000000	n/a	8880	stimulus	n/a	n/a	standard
35.6757812500	n/a	9133	stimulus	n/a	n/a	standard
36.6210937500	n/a	9375	stimulus	363	n/a	oddball_with_reponse
36.9843750000	n/a	9468	response	n/a	n/a	response
37.6718750000	n/a	9644	stimulus	n/a	n/a	standard
38.6835937500	n/a	9903	stimulus	n/a	n/a	standard
39.6523437500	n/a	10151	stimulus	426	n/a	oddball_with_reponse
40.0781250000	n/a	10260	response	n/a	n/a	response
40.6484375000	n/a	10406	stimulus	n/a	n/a	standard
41.7148437500	n/a	10679	stimulus	n/a	n/a	standard
42.6914062500	n/a	10929	stimulus	n/a	n/a	standard
43.7148437500	n/a	11191	stimulus	406	n/a	oddball_with_reponse
44.1210937500	n/a	11295	response	n/a	n/a	response
44.6835937500	n/a	11439	stimulus	n/a	n/a	standard
45.6992187500	n/a	11699	stimulus	n/a	n/a	standard
46.7382812500	n/a	11965	stimulus	n/a	n/a	standard
47.7460937500	n/a	12223	stimulus	n/a	n/a	noise
48.7578125000	n/a	12482	stimulus	n/a	n/a	standard
49.7460937500	n/a	12735	stimulus	n/a	n/a	standard
50.7851562500	n/a	13001	stimulus	n/a	n/a	noise
51.7851562500	n/a	13257	stimulus	n/a	n/a	standard
52.7890625000	n/a	13514	stimulus	367	n/a	oddball_with_reponse
53.1562500000	n/a	13608	response	n/a	n/a	response
53.8476562500	n/a	13785	stimulus	n/a	n/a	standard
54.8164062500	n/a	14033	stimulus	n/a	n/a	standard
55.8398437500	n/a	14295	stimulus	375	n/a	oddball_with_reponse
56.2148437500	n/a	14391	response	n/a	n/a	response
56.8046875000	n/a	14542	stimulus	n/a	n/a	standard
57.8554687500	n/a	14811	stimulus	363	n/a	oddball_with_reponse
58.2187500000	n/a	14904	response	n/a	n/a	response
58.8359375000	n/a	15062	stimulus	n/a	n/a	standard
59.8671875000	n/a	15326	stimulus	n/a	n/a	standard
60.7929687500	n/a	15563	stimulus	n/a	n/a	noise
61.8398437500	n/a	15831	stimulus	n/a	n/a	standard
62.8281250000	n/a	16084	stimulus	n/a	n/a	standard
63.8593750000	n/a	16348	stimulus	414	n/a	oddball_with_reponse
64.2734375000	n/a	16454	response	n/a	n/a	response
64.8867187500	n/a	16611	stimulus	n/a	n/a	standard
65.8515625000	n/a	16858	stimulus	n/a	n/a	noise
66.8632812500	n/a	17117	stimulus	n/a	n/a	standard
67.8281250000	n/a	17364	stimulus	n/a	n/a	standard
68.8554687500	n/a	17627	stimulus	n/a	n/a	standard
69.8671875000	n/a	17886	stimulus	n/a	n/a	noise
70.9257812500	n/a	18157	stimulus	n/a	n/a	standard
71.8984375000	n/a	18406	stimulus	n/a	n/a	standard
72.9101562500	n/a	18665	stimulus	n/a	n/a	noise
73.9375000000	n/a	18928	stimulus	n/a	n/a	standard
74.8984375000	n/a	19174	stimulus	n/a	n/a	standard
75.9335937500	n/a	19439	stimulus	n/a	n/a	noise
76.9375000000	n/a	19696	stimulus	n/a	n/a	standard
77.9218750000	n/a	19948	stimulus	n/a	n/a	standard
78.9648437500	n/a	20215	stimulus	n/a	n/a	standard
80.0312500000	n/a	20488	stimulus	n/a	n/a	oddball
80.9335937500	n/a	20719	stimulus	n/a	n/a	standard
81.9843750000	n/a	20988	stimulus	516	n/a	standard_with_reponse
82.5000000000	n/a	21120	response	n/a	n/a	response
82.9648437500	n/a	21239	stimulus	n/a	n/a	standard
83.9804687500	n/a	21499	stimulus	n/a	n/a	standard
84.9492187500	n/a	21747	stimulus	n/a	n/a	standard
85.9843750000	n/a	22012	stimulus	n/a	n/a	noise
86.9531250000	n/a	22260	stimulus	n/a	n/a	standard
88.0507812500	n/a	22541	stimulus	n/a	n/a	standard
88.9882812500	n/a	22781	stimulus	n/a	n/a	standard
90.0468750000	n/a	23052	stimulus	n/a	n/a	noise
91.0195312500	n/a	23301	stimulus	n/a	n/a	standard
92.0390625000	n/a	23562	stimulus	n/a	n/a	standard
93.0117187500	n/a	23811	stimulus	n/a	n/a	standard
94.0546875000	n/a	24078	stimulus	n/a	n/a	standard
95.0820312500	n/a	24341	stimulus	n/a	n/a	noise
96.0781250000	n/a	24596	stimulus	n/a	n/a	standard
97.0781250000	n/a	24852	stimulus	n/a	n/a	standard
98.0351562500	n/a	25097	stimulus	n/a	n/a	noise
99.0703125000	n/a	25362	stimulus	n/a	n/a	standard
100.1367187500	n/a	25635	stimulus	n/a	n/a	standard
101.0781250000	n/a	25876	stimulus	n/a	n/a	noise
102.1015625000	n/a	26138	stimulus	n/a	n/a	standard
103.1250000000	n/a	26400	stimulus	n/a	n/a	noise
104.1171875000	n/a	26654	stimulus	n/a	n/a	standard
105.1523437500	n/a	26919	stimulus	n/a	n/a	standard
106.1406250000	n/a	27172	stimulus	n/a	n/a	oddball
107.0898437500	n/a	27415	stimulus	363	n/a	standard_with_reponse
107.4531250000	n/a	27508	response	n/a	n/a	response
108.1328125000	n/a	27682	stimulus	520	n/a	oddball_with_reponse
108.6523437500	n/a	27815	response	n/a	n/a	response
109.1835937500	n/a	27951	stimulus	n/a	n/a	standard
110.2109375000	n/a	28214	stimulus	n/a	n/a	standard
111.1250000000	n/a	28448	stimulus	n/a	n/a	standard
112.1445312500	n/a	28709	stimulus	n/a	n/a	noise
113.1210937500	n/a	28959	stimulus	n/a	n/a	standard
114.1679687500	n/a	29227	stimulus	n/a	n/a	standard
115.0937500000	n/a	29464	stimulus	n/a	n/a	standard
116.1562500000	n/a	29736	stimulus	n/a	n/a	standard
117.1132812500	n/a	29981	stimulus	n/a	n/a	noise
118.1250000000	n/a	30240	stimulus	n/a	n/a	standard
119.1953125000	n/a	30514	stimulus	n/a	n/a	standard
120.1484375000	n/a	30758	stimulus	n/a	n/a	noise
121.1875000000	n/a	31024	stimulus	n/a	n/a	standard
122.1718750000	n/a	31276	stimulus	n/a	n/a	standard
123.1875000000	n/a	31536	stimulus	n/a	n/a	standard
124.1484375000	n/a	31782	stimulus	n/a	n/a	standard
125.1718750000	n/a	32044	stimulus	n/a	n/a	oddball
126.1875000000	n/a	32304	stimulus	348	n/a	standard_with_reponse
126.5351562500	n/a	32393	response	n/a	n/a	response
127.2304687500	n/a	32571	stimulus	n/a	n/a	standard
128.2265625000	n/a	32826	stimulus	n/a	n/a	standard
129.2734375000	n/a	33094	stimulus	n/a	n/a	standard
130.2109375000	n/a	33334	stimulus	n/a	n/a	standard
131.2578125000	n/a	33602	stimulus	n/a	n/a	standard
132.2695312500	n/a	33861	stimulus	n/a	n/a	noise
133.2578125000	n/a	34114	stimulus	n/a	n/a	standard
134.3046875000	n/a	34382	stimulus	n/a	n/a	standard
135.2421875000	n/a	34622	stimulus	395	n/a	oddball_with_reponse
135.6367187500	n/a	34723	response	n/a	n/a	response
136.3007812500	n/a	34893	stimulus	n/a	n/a	standard
137.2851562500	n/a	35145	stimulus	965	n/a	oddball_with_reponse
138.2500000000	n/a	35392	response	n/a	n/a	response
138.2773437500	n/a	35399	n/a	n/a	n/a	ignore
139.3203125000	n/a	35666	stimulus	508	n/a	oddball_with_reponse
139.8281250000	n/a	35796	response	n/a	n/a	response
140.3085937500	n/a	35919	stimulus	n/a	n/a	standard
141.3046875000	n/a	36174	stimulus	285	n/a	oddball_with_reponse
141.5898437500	n/a	36247	response	n/a	n/a	response
142.3867187500	n/a	36451	stimulus	n/a	n/a	standard
143.3476562500	n/a	36697	stimulus	n/a	n/a	standard
144.3593750000	n/a	36956	stimulus	n/a	n/a	standard
145.3867187500	n/a	37219	stimulus	594	n/a	oddball_with_reponse
145.9804687500	n/a	37371	response	n/a	n/a	response
146.3476562500	n/a	37465	stimulus	n/a	n/a	standard
147.3750000000	n/a	37728	stimulus	n/a	n/a	standard
148.3789062500	n/a	37985	stimulus	n/a	n/a	standard
149.3593750000	n/a	38236	stimulus	n/a	n/a	standard
150.3789062500	n/a	38497	stimulus	621	n/a	oddball_with_reponse
