onset	duration	sample	trial_type	response_time	stim_file	value
5.1210937500	n/a	1311	stimulus	609	n/a	standard_with_reponse
5.7304687500	n/a	1467	response	n/a	n/a	response
5.9062500000	n/a	1512	stimulus	n/a	n/a	standard
6.8867187500	n/a	1763	stimulus	n/a	n/a	standard
7.8867187500	n/a	2019	stimulus	n/a	n/a	standard
8.8906250000	n/a	2276	stimulus	n/a	n/a	standard
9.8867187500	n/a	2531	stimulus	n/a	n/a	standard
10.9218750000	n/a	2796	stimulus	n/a	n/a	standard
11.8906250000	n/a	3044	stimulus	n/a	n/a	standard
12.8945312500	n/a	3301	stimulus	n/a	n/a	standard
13.9453125000	n/a	3570	stimulus	414	n/a	noise_with_reponse
14.3593750000	n/a	3676	response	n/a	n/a	response
14.9414062500	n/a	3825	stimulus	n/a	n/a	standard
15.9570312500	n/a	4085	stimulus	n/a	n/a	noise
16.8945312500	n/a	4325	stimulus	n/a	n/a	standard
17.9140625000	n/a	4586	stimulus	n/a	n/a	standard
18.8945312500	n/a	4837	stimulus	n/a	n/a	standard
19.9062500000	n/a	5096	stimulus	n/a	n/a	standard
20.9140625000	n/a	5354	stimulus	453	n/a	oddball_with_reponse
21.3671875000	n/a	5470	response	n/a	n/a	response
21.9023437500	n/a	5607	stimulus	n/a	n/a	standard
22.9218750000	n/a	5868	stimulus	n/a	n/a	standard
23.9140625000	n/a	6122	stimulus	n/a	n/a	standard
24.9375000000	n/a	6384	stimulus	n/a	n/a	standard
25.9531250000	n/a	6644	stimulus	n/a	n/a	standard
26.9648437500	n/a	6903	stimulus	387	n/a	noise_with_reponse
27.3515625000	n/a	7002	response	n/a	n/a	response
27.9257812500	n/a	7149	stimulus	n/a	n/a	standard
29.0117187500	n/a	7427	stimulus	n/a	n/a	noise
29.9570312500	n/a	7669	stimulus	n/a	n/a	standard
30.9648437500	n/a	7927	stimulus	n/a	n/a	standard
31.9257812500	n/a	8173	stimulus	n/a	n/a	standard
32.9414062500	n/a	8433	stimulus	n/a	n/a	noise
33.9453125000	n/a	8690	stimulus	n/a	n/a	standard
34.9335937500	n/a	8943	stimulus	n/a	n/a	standard
35.9492187500	n/a	9203	stimulus	n/a	n/a	standard
36.9531250000	n/a	9460	stimulus	n/a	n/a	standard
37.9453125000	n/a	9714	stimulus	n/a	n/a	noise
38.9648437500	n/a	9975	stimulus	n/a	n/a	standard
39.9726562500	n/a	10233	stimulus	629	n/a	oddball_with_reponse
40.6015625000	n/a	10394	response	n/a	n/a	response
40.9531250000	n/a	10484	stimulus	n/a	n/a	standard
41.9726562500	n/a	10745	stimulus	n/a	n/a	noise
42.9960937500	n/a	11007	stimulus	n/a	n/a	standard
43.9921875000	n/a	11262	stimulus	n/a	n/a	noise
45.0078125000	n/a	11522	stimulus	n/a	n/a	standard
46.0000000000	n/a	11776	stimulus	n/a	n/a	noise
46.9726562500	n/a	12025	stimulus	n/a	n/a	standard
47.9882812500	n/a	12285	stimulus	n/a	n/a	standard
48.9921875000	n/a	12542	stimulus	n/a	n/a	noise
50.0273437500	n/a	12807	stimulus	n/a	n/a	standard
51.0039062500	n/a	13057	stimulus	n/a	n/a	standard
52.0195312500	n/a	13317	stimulus	n/a	n/a	standard
53.0859375000	n/a	13590	stimulus	641	n/a	oddball_with_reponse
53.7265625000	n/a	13754	response	n/a	n/a	response
54.0585937500	n/a	13839	stimulus	n/a	n/a	standard
55.0781250000	n/a	14100	stimulus	660	n/a	oddball_with_reponse
55.7382812500	n/a	14269	response	n/a	n/a	response
56.0703125000	n/a	14354	stimulus	n/a	n/a	standard
57.0898437500	n/a	14615	stimulus	n/a	n/a	standard
58.0625000000	n/a	14864	stimulus	n/a	n/a	noise
59.0820312500	n/a	15125	stimulus	n/a	n/a	standard
60.0742187500	n/a	15379	stimulus	n/a	n/a	standard
61.0585937500	n/a	15631	stimulus	535	n/a	oddball_with_reponse
61.5937500000	n/a	15768	response	n/a	n/a	response
62.1132812500	n/a	15901	stimulus	n/a	n/a	standard
63.0820312500	n/a	16149	stimulus	n/a	n/a	noise
64.0937500000	n/a	16408	stimulus	n/a	n/a	standard
65.1210937500	n/a	16671	stimulus	n/a	n/a	standard
66.1210937500	n/a	16927	stimulus	n/a	n/a	standard
67.1132812500	n/a	17181	stimulus	n/a	n/a	standard
68.1367187500	n/a	17443	stimulus	n/a	n/a	standard
69.1640625000	n/a	17706	stimulus	n/a	n/a	standard
70.1289062500	n/a	17953	stimulus	n/a	n/a	standard
71.1250000000	n/a	18208	stimulus	445	n/a	oddball_with_reponse
71.5703125000	n/a	18322	response	n/a	n/a	response
72.1796875000	n/a	18478	stimulus	n/a	n/a	standard
